title,publisher,year
"{'de': 'Haushaltsmittel', 'fi': 'Talousarvio', 'pt': 'Orçamento', 'bg': 'Бюджет', 'lt': 'Biudžetas', 'lv': 'Budžets', 'hr': 'Proračun', 'fr': 'Budget', 'hu': 'Költségvetés', 'uk': 'З бюджету', 'sk': 'Rozpočet', 'sl': 'Proračun', 'ga': 'Budget', 'sv': 'Budget', 'mt': 'Baġit', 'el': 'Προϋπολογισμός', 'en': 'Budget', 'it': 'Bilancio', 'es': 'Presupuesto', 'et': 'Eelarve', 'cs': 'Rozpočet', 'pl': 'Budżet', 'da': 'Budget', 'ro': 'Bugetul', 'nl': 'Begroting'}","{'resource': 'https://data.gov.ie/organization/60eeb83f-bd27-492c-ad8c-59b93b600edc', 'name': 'Kildare County Council ', 'type': 'Agent'}",2023
{'en': 'LoGov Albania Interview Report n°2'},"{'type': 'Agent', 'name': 'Zenodo'}",2021
"{'en': 'Dataset for Green Transition Policies, Stakeholders and Practices in Albania'}","{'type': 'Agent', 'name': 'Zenodo'}",2023
"{'mt': 'Loi ta’ Rapportar LOM 2023', 'cs': 'Vykazování Loi LOM 2023', 'es': 'Nota informativa LOM 2023', 'et': 'Aruandlusloi LOM 2023', 'pl': 'Raportowanie Loi LOM 2023', 'de': 'Berichterstattung LOM-Gesetz 2023', 'lv': 'Ziņošanas Loi LOM 2023', 'sk': 'Oznamovanie Loi LOM 2023', 'sv': 'Rapportering Loi LOM 2023', 'sl': 'Poročanje Loi LOM 2023', 'it': 'Comunicazione Loi LOM 2023', 'da': 'Rapporteringsloi LOM 2023', 'uk': 'Звітність Loi LOM 2023', 'fr': 'Reporting Loi LOM 2023', 'fi': 'Raportointi Loi LOM 2023', 'pt': 'Comunicação de informações Loi LOM 2023', 'ga': 'Loi LOM 2023 a thuairisciú', 'bg': 'Докладване Loi LOM 2023\xa0г.', 'ro': 'Raportare Loi LOM 2023', 'hu': 'Jelentéstétel: Loi LOM 2023', 'lt': 'Ataskaitų teikimas pagal 2023 m. LOM', 'en': 'Reporting Loi LOM 2023', 'el': 'Υποβολή εκθέσεων Loi LOM 2023', 'hr': 'Izvješćivanje Loi LOM 2023.', 'nl': 'Rapportage Loi LOM 2023'}","{'type': 'Organization', 'homepage': 'https://www.hertz.fr/', 'name': 'HERTZ France', 'resource': 'https://www.data.gouv.fr/organizations/615c2cdc46ad700e70557f3f'}",2024
"{'et': '2011. aasta esialgse rahastamise seadus, finantsabi kontod', 'bg': 'Първоначален закон за финансите от 2011\xa0г., сметки за финансова помощ', 'it': 'Initial Finance Act 2011, conti di assistenza finanziaria', 'pt': 'Initial Finance Act 2011, contas de assistência financeira', 'en': 'Initial Finance Act 2011, financial assistance accounts', 'uk': 'Первинний фінансовий акт 2011 року, рахунки фінансової допомоги', 'da': 'Oprindelig finanslov for 2011, regnskaber for finansiel bistand', 'ro': 'Legea finanțelor inițiale 2011, conturi de asistență financiară', 'mt': 'L-Att Finanzjarju Inizjali tal-2011, il-kontijiet tal-assistenza finanzjarja', 'pl': 'Pierwotna ustawa o finansach z 2011 r., rachunki pomocy finansowej', 'fr': 'Loi de finances initiale 2011, comptes de concours financiers', 'cs': 'Initial Finance Act 2011 (zákon o počátečních financích z roku 2011), účty finanční pomoci', 'nl': 'Initiële financieringswet 2011, rekeningen voor financiële bijstand', 'sk': 'Pôvodný zákon o financiách z roku 2011, účty finančnej pomoci', 'fi': 'Alkuperäinen rahoituslaki 2011, rahoitustukitilit', 'sl': 'Prvotni zakon o financah iz leta 2011, računi finančne pomoči', 'de': 'Ursprüngliches Finanzgesetz 2011, Finanzierungskonten', 'hu': 'Az eredeti finanszírozásról szóló 2011. évi törvény, pénzügyi támogatási számlák', 'lt': 'Pradinis 2011 m. finansų įstatymas, finansinės paramos sąskaitos', 'es': 'Ley de Finanzas Iniciales de 2011, cuentas de asistencia financiera', 'sv': 'Initial Finance Act 2011, konton för finansiellt stöd', 'hr': 'Početni zakon o financijama iz 2011., računi financijske pomoći', 'el': 'Αρχικός νόμος περί οικονομικών του 2011, λογαριασμοί χρηματοδοτικής συνδρομής', 'ga': 'An tAcht Airgeadais Tosaigh 2011, cuntais cúnaimh airgeadais', 'lv': '2011. gada Sākotnējās finansēšanas likums, finanšu palīdzības konti'}",,2018
{'en': 'LoGov Albania Interview Report n°1'},"{'type': 'Agent', 'name': 'Zenodo'}",2021
{'en': 'LoGov Albania Interview Report n°3'},"{'type': 'Agent', 'name': 'Zenodo'}",2021
"{'mt': 'Is-Servizz ta’ Viżjoni tal-Mapep (WMS) tas-sett ta’ data: Istituzzjonijiet pubbliċi għall-kooperazzjoni interkomunali mal-kompetenza tal-GEMAPI f’Côte-d’Or', 'lt': 'Duomenų rinkinio žemėlapių peržiūros paslauga (WMS): Viešosios institucijos, atsakingos už bendruomenių tarpusavio bendradarbiavimą su GEMAPI kompetencija Dramblio Kaulo Kranto regione', 'nl': 'Map Viewing Service (WMS) van de dataset: Openbare instellingen voor intercommunale samenwerking met GEMAPI-bevoegdheid in Côte-d’Or', 'sl': 'Storitev pregledovanja zemljevidov (WMS) nabora podatkov: Javne institucije za sodelovanje med skupnostmi s pristojnostjo GEMAPI v Slonokoščeni republiki', 'pt': 'Serviço de visualização de mapas (WMS) do conjunto de dados: Instituições públicas de cooperação intercomunitária com competência GEMAPI na Côte-d’Or', 'es': 'Servicio de visualización de mapas (WMS) del conjunto de datos: Instituciones públicas de cooperación intercomunitaria con competencia de GEMAPI en Côte-d’Or', 'da': ""Kortvisningstjeneste (WMS) af datasættet: Offentlige institutioner for tværkommunalt samarbejde med GEMAPI-kompetence i Côte-d'Or"", 'ga': 'Seirbhís Amhairc Léarscáile (WMS) an tacair sonraí: Institiúidí poiblí um chomhar idir-chomhphobail le hinniúlacht GEMAPI in Côte-d’Or', 'et': 'Andmekogumi kaardi vaatamise teenus (WMS): Avaliku sektori asutused kogukondadevaheliseks koostööks GEMAPI pädevusega Côte-d’Oris', 'hr': 'Usluga pregleda karte (WMS) skupa podataka: Javne institucije za suradnju među zajednicama s GEMAPI nadležnošću u Côte-d’Or-u', 'it': ""Servizio di visualizzazione delle mappe (WMS) del set di dati: Istituzioni pubbliche per la cooperazione intercomunale con competenza GEMAPI in Côte-d'Or"", 'bg': 'Услуга за преглед на картата (WMS) на набора от данни: Публични институции за междуобщностно сътрудничество с компетентност на GEMAPI в Côte-d’Or', 'fi': 'Datajoukon kartan katselupalvelu (WMS): Julkiset laitokset, joilla on GEMAPIn toimivaltaan kuuluva yhteisöjen välinen yhteistyö Côte-d’Orissa', 'el': 'Υπηρεσία προβολής χαρτών (WMS) του συνόλου δεδομένων: Δημόσιοι οργανισμοί διακοινοτικής συνεργασίας με αρμοδιότητα GEMAPI στην Ακτή του Ελεφαντοστού', 'sk': 'Zobrazovacia služba (WMS) súboru údajov: Verejné inštitúcie pre spoluprácu medzi komunitami s právomocou GEMAPI v Côte-d’Or', 'lv': 'Datu kopas karšu skatīšanas pakalpojums (WMS): Valsts iestādes sadarbībai starp kopienām ar GEMAPI kompetenci Kotdivuārā Or', 'ro': 'Serviciul de vizualizare a hărților (WMS) al setului de date: Instituții publice de cooperare intercomunală cu competența GEMAPI în Côte-d’Or', 'fr': ""Service de visualisation cartographique (WMS) du jeu de données : Etablissements publics de coopération intercommunale à compétence GEMAPI en Côte-d'Or"", 'en': 'Map Viewing Service (WMS) of the dataset: Public institutions for inter-communal cooperation with GEMAPI competence in Côte-d’Or', 'sv': 'Kartvisningstjänst (WMS) för datauppsättningen: Offentliga institutioner för samarbete mellan olika befolkningsgrupper med GEMAPI:s behörighet i Côte-d’Or', 'pl': 'Usługa przeglądania map (WMS) zbioru danych: Instytucje publiczne do współpracy między społecznościami z kompetencjami GEMAPI w Côte-d’Or', 'hu': 'Az adatkészlet térképmegtekintési szolgáltatása (WMS): A GEMAPI illetékességével való közösségek közötti együttműködést szolgáló közintézmények Côte-d’Or-ban', 'cs': 'Služba pro prohlížení mapy (WMS) datové sady: Veřejné instituce pro spolupráci mezi komunitami s působností GEMAPI v Côte-d’Or', 'de': 'Kartenvisualisierungsdienst (WMS) des Datensatzes: Öffentliche Einrichtungen der interkommunalen Zusammenarbeit mit Zuständigkeit GEMAPI in Côte-d’Or'}",,
"{'sk': 'Pôvodný zákon o financiách z roku 2013, trustové účty s dotáciami (CAS) hlava 2 a mimo hlavy 2 podľa programov (LFI 2013)', 'en': 'Initial Finance Act 2013, endowment trust accounts (CAS) Title 2 and Non Title 2 by programme (LFI 2013)', 'pl': 'Initial Finance Act 2013, endowment trust accounts (CAS) Title 2 and Non Title 2 by programme (LFI 2013)', 'nl': 'Initial Finance Act 2013, endowment trust accounts (CAS) titel 2 en niet-titel 2 naar programma (LFI 2013)', 'pt': 'Lei das Finanças Iniciais de 2013, contas fiduciárias de dotação (CAS), título 2 e não título 2, por programa (LFI 2013)', 'et': '2013. aasta esialgse rahastamise seaduse (Finance Finance Act 2013) sihtkapitali usalduskontode 2. jaotis ja 2. jaotiseta kontod programmide kaupa (LFI 2013)', 'uk': 'Початковий фінансовий закон 2013, ендаумент трастових рахунків (CAS) Title 2 і Non Title 2 за програмою (LFI 2013)', 'cs': 'Initial Finance Act 2013, enowment trust accounts (CAS) Title 2 and Non Title 2 by programme (zákon o počátečních financích z roku 2013, nadační svěřenecké účty, hlava 2 a nehlava 2 podle programů) (LFI 2013)', 'it': 'Legge finanziaria iniziale 2013, conti fiduciari di dotazione (CAS) titolo 2 e non titolo 2 per programma (IFL 2013)', 'lv': '2013. gada Sākotnējā finansējuma likums, dotāciju trasta konti (CAS), 2. sadaļa un ārpus 2. sadaļas pa programmām (LFI 2013)', 'el': 'Νόμος περί αρχικών οικονομικών του 2013, τίτλος 2 και μη τίτλος 2 ανά πρόγραμμα (LFI 2013)', 'ga': 'An tAcht Airgeadais Tosaigh 2013, cuntais iontaobhais dearlaice (CAS) Teideal 2 agus Neamhtheideal 2 de réir cláir (LFI 2013)', 'de': 'Initial Finance Act 2013, Dotierung Treuhandkonten (CAS) Titel 2 und außerhalb Titel 2 pro Programm (IFG 2013)', 'mt': 'Att Finanzjarju Inizjali 2013, kontijiet fiduċjarji tad-dotazzjoni (CAS) Titolu 2 u Mhux Titolu 2 skont il-programm (LFI 2013)', 'fr': ""Loi de finances initiale 2013, dotation comptes d'affectation spéciale (CAS) titre 2 et hors titre 2 par programme (LFI 2013)"", 'fi': 'Initial Finance Act 2013, endowment trust accounts (CAS) Title 2 ja Non Title 2 ohjelmittain (LFI 2013)', 'hu': 'Az induló finanszírozásról szóló 2013. évi törvény, dotációs vagyonkezelői számlák (CAS), 2. cím és nem 2. cím programonként (LFI 2013)', 'sv': 'Initial Finance Act 2013, endowment trust accounts (CAS) Title 2 och Non Title 2 per program (LFI 2013)', 'da': 'Initial Finance Act 2013, endowment trust accounts (CAS) afsnit 2 og ikke afsnit 2 efter program (LFI 2013)', 'sl': 'Prvotni zakon o financah iz leta 2013, naslov 2 in naslov 2, ki ni naslov 2, po programih (LFI 2013)', 'ro': 'Legea finanțelor inițiale 2013, conturile fiduciare de dotare (CAS) titlul 2 și non-titlul 2 în funcție de program (LFI 2013)', 'lt': 'Pradinis 2013 m. Finansų įstatymas, labdaros patikos sąskaitos (CAS) 2 antraštinė dalis ir ne 2 antraštinė dalis pagal programas (LFI 2013)', 'es': 'Ley de Finanzas Iniciales de 2013, cuentas fiduciarias de dotación (CAS), título 2 y no título 2, por programa (LFI 2013)', 'bg': 'Първоначален финансов закон за 2013\xa0г., доверителни сметки (CAS), дял\xa02 и недял 2 по програми (LFI 2013)', 'hr': 'Zakon o početnim financijama iz 2013., glava 2. dotacijskih skrbničkih računa (CAS) i glava 2. koja nije glava 2. po programu (LFI 2013.)'}",,2018
"{'en': 'Initial Finance Act 2011, full-time jobs', 'lv': '2011. gada Sākotnējais finanšu likums, pilna laika darbs', 'uk': 'Початковий закон про фінанси 2011 року, повний робочий день', 'ga': 'An tAcht Airgeadais Tosaigh, 2011, poist lánaimseartha', 'sv': 'Initial Finance Act 2011, heltidsjobb', 'sk': 'Pôvodný zákon o financiách z roku 2011, pracovné miesta na plný úväzok', 'hu': 'Kezdeti pénzügyi törvény 2011, teljes munkaidős állások', 'mt': 'L-Att Finanzjarju Inizjali tal-2011, impjiegi full-time', 'de': 'Ursprüngliches Finanzgesetz 2011, Vollzeitstellen', 'el': 'Αρχικός νόμος περί οικονομικών του 2011, θέσεις εργασίας πλήρους απασχόλησης', 'pt': 'Lei das Finanças Iniciais de 2011, empregos a tempo inteiro', 'hr': 'Početni zakon o financijama iz 2011., radna mjesta s punim radnim vremenom', 'bg': 'Първоначален закон за финансите от 2011\xa0г., работа на пълно работно време', 'pl': 'Initial Finance Act 2011, praca w pełnym wymiarze godzin', 'es': 'Ley de Finanzas Iniciales de 2011, empleos a tiempo completo', 'it': 'Initial Finance Act 2011, posti di lavoro a tempo pieno', 'nl': 'Initial Finance Act 2011, voltijdse banen', 'da': 'Indledende finanslov 2011, fuldtidsjob', 'et': '2011. aasta esialgse rahastamise seadus, täistööajaga töökohad', 'fi': 'Alustava rahoituslaki 2011, kokoaikaiset työpaikat', 'ro': 'Legea finanțelor inițiale 2011, locuri de muncă cu normă întreagă', 'fr': 'Loi de finances initiale 2011, emplois temps plein', 'cs': 'Initial Finance Act 2011, plný úvazek', 'lt': 'Pradinis 2011 m. finansų įstatymas, darbas visą darbo dieną', 'sl': 'Prvotni zakon o financah iz leta 2011, zaposlitev s polnim delovnim časom'}",,2018
